Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
613,Ανώτερη Σχολή Τουριστικής Εκπαίδευσης Ρόδου (Α.Σ.Τ.Ε.Ρ.),http://www.mintour.edu.gr/,Ρόδος,"I,IV",86,11312,0.80,08.81,0.70,09.35
614,Ανώτερη Σχολή Τουριστικής Εκπαίδευσης Κρήτης (Α.Σ.Τ.Ε.Κ.),http://astecrete.edu.gr/,Αγ. Νικόλαος,"I,IV",86,11706,0.80,08.81,0.70,09.35
668,"Αρχειονομίας, Βιβλιοθηκονομίας & Συστημάτων Πληροφόρησης, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"I,IV",78,10730,0.90,09.45,,
671,"Κοινωνικής Εργασίας, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,I,99,15420,0.80,09.04,,
673,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"I,II,III,IV",112,13120,0.80,08.40,,
677,"Φωτογραφίας & Οπτικοακουστικών Τεχνών, ΠΑ.Δ.Α.",http://www.uniwa.gr/,Αιγάλεω,"I,II,IV",91,11540,1.00,10.50,,
780,"Μουσουλμανικών Σπουδών (Εισ. Κατ.), ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,45,9125,0.80,09.04,,
866,Νομικό (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,I,9,18040,1.20,13.55,,
869,Αξιωματικών Ελληνικής Αστυνομίας,http://www.astynomia.gr/,Αθήνα,"I,II,IV",37,17590,0.80,08.40,,
870,Αστυφυλάκων,http://www.astynomia.gr/,Αθήνα,"I,II,IV",687,11710,0.80,08.40,,
871,Αξιωματικών Πυροσβεστικής Ακαδημίας (Πυροσβέστες),http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",10,9940,0.80,08.40,,
872,Αξιωματικών Ελληνικής Αστυνομίας (Αστυνομικοί),http://www.astynomia.gr/,Αθήνα,"I,II,IV",26,17370,0.80,08.40,,
875,Ψυχολόγων (ΣΣΑΣ),http://www.geetha.mil.gr/,Θεσσαλονίκη,I,2,18155,1.20,13.55,,
876,Πυροσβεστών,http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",189,14460,0.80,08.40,,
877,Αξιωματικών Πυροσβεστικής Ακαδημίας,http://www.fireservice.gr/,Αθήνα,"I,II,III,IV",41,17460,0.80,08.40,,
881,Δοκίμων Σημαιοφόρων Λιμενικού Σώματος - Ελληνικής Ακτοφυλακής (Σ.Δ.Σ.Λ.Σ. -ΕΛ.ΑΚΤ.),https://www.hcg.gr/el/,Αθήνα,"I,II,III,IV",19,16650,0.90,09.45,,
882,Δοκίμων Λιμενοφυλάκων,https://www.hcg.gr/el/,Αθήνα,"I,II,III,IV",74,13970,0.90,09.45,,
883,,,Αθήνα,"I,II,III,IV",,,0.90,09.45,,
1006,"Κοινωνιολογίας, ΕΚΠΑ",https://www.soc.uoa.gr/,Αθήνα,I,80,13270,1.00,11.29,,
1007,"Παιδαγωγικό Δευτεροβάθμιας Εκπαίδευσης, ΕΚΠΑ",https://www.eds.uoa.gr/,Αθήνα,I,135,11495,0.80,09.04,,
1010,"Φιλοσοφίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,113,11365,1.00,11.29,,
1011,"Ψηφιακών Τεχνών & Κινηματογράφου, ΕΚΠΑ",https://www.dcarts.uoa.gr/,Ψαχνά,"I,II,III,IV",81,10520,0.80,08.40,,
1241,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, Ιωαννίνων",http://www.teiep.gr/,Ιωάννινα,"I,II,III,IV",138,10914,1.00,10.50,,
1248,"Μουσικών Σπουδών, Ιωαννίνων",https://music.uoi.gr/,Αρτα,"I,II,III,IV",137,11660,0.90,11.15,0.90,07.69
1251,"Ψυχολογίας, Ιωαννίνων",https://uoi.gr/tmimata/tmima-psychologias/,Ιωάννινα,I,135,16575,1.00,11.29,,
1284,"Ιστορίας - Αρχαιολογίας, Πατρών",https://ha.upatras.gr/,Πάτρα,I,109,8760,0.80,09.04,,
1286,"Επιστημών της Εκπαίδευσης & Κοινωνικής Εργασίας, Πατρών",http://www.upatras.gr/,Πάτρα,"I,II,III,IV",228,14422,1.20,12.60,,
1301,"Κοινωνικής Εργασίας, ΔΠΘ",https://sw.duth.gr/,Κομοτηνή,I,97,14640,1.10,12.42,,
1302,"Κοινωνικής Πολιτικής, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,"I,IV",105,10820,0.80,08.40,,
1423,"Γλωσσικών & Διαπολιτισμικών Σπουδών, Θεσσαλίας",https://gdia.uth.gr/,Βόλος,I,91,9410,0.80,09.04,,
1435,"Πολιτισμού & Δημιουργικών Μέσων & Βιομηχανιών, Θεσσαλίας",https://cult.uth.gr/,Βόλος,"I,IV",81,9410,0.80,08.40,,
1456,"Ψηφιακών Μέσων & Επικοινωνίας, Ιονίου",https://dmc.ionio.gr/,Αργοστόλι,"I,IV",211,8550,0.80,08.40,,
1517,"Παραστατικών & Ψηφιακών Τεχνών, Πελοποννήσου",https://pda.uop.gr/,Ναύπλιον,"I,II,III,IV",113,9200,0.80,08.40,,
1550,"Ψυχολογίας, Δυτ. Μακεδονίας",https://psy.uowm.gr/,Φλώρινα,I,137,15905,1.00,11.29,,
1551,"Επικοινωνίας & Ψηφιακών Μέσων, Δυτ. Μακεδονίας",http://www.teiwm.gr/,Καστοριά,"I,IV",146,11020,0.86,09.48,0.70,09.47
1609,"Βιβλιοθηκονομίας, Αρχειονομίας & Συστημάτων Πληροφόρησης, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,"I,IV",96,9300,0.80,08.40,,
1610,"Αγωγής & Φροντίδας στην Πρώιμη Παιδική Ηλικία, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Θεσσαλονίκη,"I,II,III,IV",112,11250,0.80,08.40,,
1627,"Δημιουργικού Σχεδιασμού & Ένδυσης, ΔΙ.ΠΑ.Ε.",http://www.teithe.gr/,Κιλκίς,"I,II,IV",120,8650,0.80,08.40,,
1652,"Κοινωνικής Εργασίας, ΕΛ.ΜΕ.ΠΑ.",https://www.teicrete.gr/,Ηράκλειο,I,125,13500,1.00,11.29,,
1668,"Ψυχολογίας, ΔΠΘ, ΝΕΟ",http://www.duth.gr/,Διδυμότειχο,I,113,15450,1.20,13.55,,
1669,"Ανθρωπιστικών Σπουδών, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,"I,IV",310,8650,0.80,08.40,,
